,title,phone number,website,zip code,Address,link to yelp pages,reviews,rating
65,not available,not available,not available,not available,not available,https://www.yelp.com//adredir?ad_business_id=YISILql5HccHgqUr3FgYzg&campaign_id=OFt870P_bi6jNtIioortFA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffairhempfx-fairfax&request_id=7fed8396e2a463b6&signature=34542d856ca6373e0d66db98f55b334d57b4e130f4925ad3ecf9b985f66ee577&slot=0,not available,not available
66,Harborside,(888) 994-2726,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.shopharborside.com&website_link_type=website&src_bizid=b_jzwVLf9G_XMmEW6AZldA&cachebuster=1594237004&s=5f413a1f518c6aded8917740ace9a2dc81a621f6d7c08de3076444fa10390b49,[94606],"1840 EmbarcaderoOakland, CA 94606b/t 19th Ave & Livingston StEast OaklandServing Oakland Area",https://www.yelp.com//biz/harborside-oakland-3?osq=Cbd+Stores,741 reviews,not available
67,Eaze,View Service Area,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fwww.eaze.com%2Fmenu&website_link_type=website&src_bizid=BjWCMW1xM1oAJtTq--ItmA&cachebuster=1594237009&s=2286faa42429d047851eee12dc76c38c78252455f6887a535f2bb5466201b6a5,not available,"San Francisco, CA 94111Financial DistrictServing San Francisco Area",https://www.yelp.com//biz/eaze-san-francisco-7?osq=Cbd+Stores,738 reviews,not available
68,not available,not available,not available,not available,not available,https://www.yelp.com//biz/beauty-supply-warehouse-san-francisco-3?osq=Cbd+Stores,not available,not available
69,Garin,(424) 372-7467,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fwww.garinshop.com&website_link_type=website&src_bizid=WKEDqH-Pp20bK-b9LMspZw&cachebuster=1594237016&s=6c5a1eeff1a7f06a61dd906c78d40127ca3840e1fe3b625cbee86018696fdb22,[94115],"2053 Fillmore StSan Francisco, CA 94115b/t California St & Pine StLower Pacific Heights",https://www.yelp.com//biz/garin-san-francisco-2?osq=Cbd+Stores,3 reviews,4.5 star rating
70,not available,not available,not available,not available,not available,https://www.yelp.com//biz/eco-cannabis-oakland?osq=Cbd+Stores,not available,not available
71,Ketama Collective,Get Directions,not available,[94103],"14 Valencia StSan Francisco, CA 94103b/t Mccoppin St & Market StSoMa",https://www.yelp.com//biz/ketama-collective-san-francisco?osq=Cbd+Stores,29 reviews,not available
72,not available,not available,not available,not available,not available,https://www.yelp.com//biz/city-smoke-shop-san-francisco-3?osq=Cbd+Stores,not available,not available
73,not available,not available,not available,not available,not available,https://www.yelp.com//biz/caliva-delivery-brisbane-3?osq=Cbd+Stores,not available,not available
74,not available,not available,not available,not available,not available,https://www.yelp.com//biz/nordstrom-rack-downtown-san-francisco-san-francisco?osq=Cbd+Stores,not available,not available
75,not available,not available,not available,not available,not available,https://www.yelp.com//biz/airfield-supply-company-san-jose?osq=Cbd+Stores,not available,not available
76,not available,not available,not available,not available,not available,https://www.yelp.com//adredir?ad_business_id=YISILql5HccHgqUr3FgYzg&campaign_id=OFt870P_bi6jNtIioortFA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffairhempfx-fairfax&request_id=4d8352a9c691f9c7&signature=663d48fce363f554bc36337edb94669ca450f7c7865aeaf3c6064d11f587fe83&slot=0,not available,not available
77,not available,not available,not available,not available,not available,https://www.yelp.com//biz/rincon-market-san-francisco?osq=Cbd+Stores,not available,not available
78,not available,not available,not available,not available,not available,https://www.yelp.com//biz/f-and-m-smokes-and-wine-san-francisco-2?osq=Cbd+Stores,not available,not available
79,not available,not available,not available,not available,not available,https://www.yelp.com//biz/purple-lotus-san-jose?osq=Cbd+Stores,not available,not available
80,not available,not available,not available,not available,not available,https://www.yelp.com//biz/urban-oasis-massage-san-francisco-2?osq=Cbd+Stores,not available,not available
81,not available,not available,not available,not available,not available,https://www.yelp.com//biz/coco-farms-antioch?osq=Cbd+Stores,not available,not available
82,not available,not available,not available,not available,not available,https://www.yelp.com//biz/sunnyy-san-francisco-2?osq=Cbd+Stores,not available,not available
83,not available,not available,not available,not available,not available,https://www.yelp.com//biz/ohana-cannabis-emeryville-7?osq=Cbd+Stores,not available,not available
84,not available,not available,not available,not available,not available,https://www.yelp.com//biz/bluntsandmoore-oakland?osq=Cbd+Stores,not available,not available
85,not available,not available,not available,not available,not available,https://www.yelp.com//biz/berkeley-patients-group-berkeley-2?osq=Cbd+Stores,not available,not available
86,not available,not available,not available,not available,not available,https://www.yelp.com//biz/bl%C3%BCm-oakland-oakland-4?osq=Cbd+Stores,not available,not available
87,not available,not available,not available,not available,not available,https://www.yelp.com//adredir?ad_business_id=YISILql5HccHgqUr3FgYzg&campaign_id=OFt870P_bi6jNtIioortFA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffairhempfx-fairfax&request_id=7917917b502ef89b&signature=27d819ac4e9370d90503a46554c4cf32c8e28338fc7841e35a9e0699da970394&slot=0,not available,not available
88,not available,not available,not available,not available,not available,https://www.yelp.com//biz/lakeshore-natural-foods-oakland?osq=Cbd+Stores,not available,not available
89,not available,not available,not available,not available,not available,https://www.yelp.com//biz/solful-sebastopol?osq=Cbd+Stores,not available,not available
90,not available,not available,not available,not available,not available,https://www.yelp.com//biz/treasurefest-san-francisco-2?osq=Cbd+Stores,not available,not available
91,not available,not available,not available,not available,not available,https://www.yelp.com//biz/p-fits-san-francisco-4?osq=Cbd+Stores,not available,not available
92,not available,not available,not available,not available,not available,https://www.yelp.com//biz/california-cannabis-tours-oakland-2?osq=Cbd+Stores,not available,not available
93,not available,not available,not available,not available,not available,https://www.yelp.com//biz/magnolia-oakland-oakland?osq=Cbd+Stores,not available,not available
94,not available,not available,not available,not available,not available,https://www.yelp.com//biz/queen-hippie-gypsy-oakland-3?osq=Cbd+Stores,not available,not available
95,not available,not available,not available,not available,not available,https://www.yelp.com//biz/the-terpene-lab-oakland-oakland?osq=Cbd+Stores,not available,not available
96,not available,not available,not available,not available,not available,https://www.yelp.com//biz/tasty-vapor-oakland?osq=Cbd+Stores,not available,not available
97,not available,not available,not available,not available,not available,https://www.yelp.com//biz/hi-fidelity-cannabis-shop-berkeley?osq=Cbd+Stores,not available,not available
98,not available,not available,not available,not available,not available,https://www.yelp.com//adredir?ad_business_id=YISILql5HccHgqUr3FgYzg&campaign_id=OFt870P_bi6jNtIioortFA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffairhempfx-fairfax&request_id=1effd49c88d0c79b&signature=b524c749c648afb5c814f564f08c02e6300b07454843a991ba6deb6473f1caad&slot=0,not available,not available
99,not available,not available,not available,not available,not available,https://www.yelp.com//biz/berkeley-bowl-marketplace-berkeley?osq=Cbd+Stores,not available,not available
100,not available,not available,not available,not available,not available,https://www.yelp.com//biz/smoakland-oakland-3?osq=Cbd+Stores,not available,not available
101,not available,not available,not available,not available,not available,https://www.yelp.com//biz/have-a-heart-downtown-oakland-oakland?osq=Cbd+Stores,not available,not available
102,not available,not available,not available,not available,not available,https://www.yelp.com//biz/rio-vista-farms-rio-vista-2?osq=Cbd+Stores,not available,not available
103,not available,not available,not available,not available,not available,https://www.yelp.com//biz/whelans-smoke-shop-berkeley-3?osq=Cbd+Stores,not available,not available
104,not available,not available,not available,not available,not available,https://www.yelp.com//biz/831-organiks-oakland?osq=Cbd+Stores,not available,not available
105,not available,not available,not available,not available,not available,https://www.yelp.com//biz/c-r-a-f-t-cannabis-delivery-oakland?osq=Cbd+Stores,not available,not available
106,not available,not available,not available,not available,not available,https://www.yelp.com//biz/twisted-thistle-apothicaire-oakland-2?osq=Cbd+Stores,not available,not available
107,not available,not available,not available,not available,not available,https://www.yelp.com//biz/kali-budz-510-oakland-2?osq=Cbd+Stores,not available,not available
108,not available,not available,not available,not available,not available,https://www.yelp.com//biz/wild-child-oakland?osq=Cbd+Stores,not available,not available
109,not available,not available,not available,not available,not available,https://www.yelp.com//adredir?ad_business_id=YISILql5HccHgqUr3FgYzg&campaign_id=OFt870P_bi6jNtIioortFA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffairhempfx-fairfax&request_id=8c5a845df7a59da2&signature=f30dafdf11e73d9634b716a5dcf4faa93b4cdc38d27818633d4c5bd51eaca003&slot=0,not available,not available
110,not available,not available,not available,not available,not available,https://www.yelp.com//biz/eaze-oakland-2?osq=Cbd+Stores,not available,not available
111,not available,not available,not available,not available,not available,https://www.yelp.com//biz/main-street-supply-alameda?osq=Cbd+Stores,not available,not available
112,not available,not available,not available,not available,not available,https://www.yelp.com//biz/ulta-beauty-alameda?osq=Cbd+Stores,not available,not available
113,not available,not available,not available,not available,not available,https://www.yelp.com//biz/new-city-plus-smoke-vape-shop-oakland-2?osq=Cbd+Stores,not available,not available
114,not available,not available,not available,not available,not available,https://www.yelp.com//biz/aya-salon-and-spa-berkeley?osq=Cbd+Stores,not available,not available
115,not available,not available,not available,not available,not available,https://www.yelp.com//biz/eaze-palo-alto?osq=Cbd+Stores,not available,not available
116,not available,not available,not available,not available,not available,https://www.yelp.com//biz/westside-joes-bikes-alameda?osq=Cbd+Stores,not available,not available
117,not available,not available,not available,not available,not available,https://www.yelp.com//biz/dang-vu-bay-md-oakland?osq=Cbd+Stores,not available,not available
118,not available,not available,not available,not available,not available,https://www.yelp.com//biz/annapurna-berkeley?osq=Cbd+Stores,not available,not available
119,not available,not available,not available,not available,not available,https://www.yelp.com//biz/chai-cannabis-co-santa-cruz-2?osq=Cbd+Stores,not available,not available
